Row	RPPA Core Ab Name**	Ab Name Reported on Dataset	Gene Name	NCBI Entrez Gene ID	Company	Catalog 	Internal Ab ID	RRID	Species	Validation Status*	RPPA Dilution	Storage
190	Folate Binding Protein	Folate-Binding-Protein	FOLR1	2348	Abcam	ab221543	2631	AB_2920895	Rabbit	Valid	 1:250	-20
191	Folliculin	Folliculin	FLCN	201163	CST	3697	2599	AB_2231646	Rabbit	Valid	 1:500	-20
192	FoxM1	FOXM1	FOXM1	2305	CST	20459	2458	AB_2798842	Rabbit	Valid	 1:100	-20
193	FoxO3a	FoxO3	FOXO3	2309	CST	12829	2289	AB_2636990	Rabbit	Valid	 1:300	-20
194	FoxO3a (phospho Ser318 Ser321)	FoxO3a_pS318_S321	FOXO3	2309	Biorbyt	orb6051	2515	AB_10930919	Rabbit	Caution	 1:1000	-20
195	FRS2-alpha (phospho Tyr196)	FRS2-alpha_pY196	FRS2	10818	Invitrogen	PA5-64616	2475	AB_2664213	Rabbit	Valid	 1:500	-20
196	FTO	FTO	FTO	79068	Abcam	ab124892	2575	AB_10972698	Rabbit	Valid	 1:750	-20
197	G6PD	G6PD	G6PD	2539	CST	12263	2446	AB_2797861	Rabbit	Valid	 1:75	-20
198	Gab2 [discontinued]	Gab2	GAB2	9846	CST	3239	943	AB_10698601	Rabbit	Valid	 1:300	-20
199	GAPDH	GAPDH	GAPDH	2597	Invitrogen	AM4300	274	AB_2536381	Mouse	Caution	 1:65000	-20
200	GATA3	GATA3	GATA3	2625	BD Biosciences	558686	764	AB_2108590	Mouse	Valid	 1:150	4
201	GATA6	GATA6	GATA6	2627	CST	5851	2309	AB_10705521	Rabbit	Valid	 1:30	-20
202	GCLC	GCLC	GCLC	2729	Proteintech Group	12601-1-AP	1634	AB_2278734	Rabbit	Caution	 1:500	-20
203	GCLM	GCLM	GCLM	2730	Invitrogen	MA5-32783	2496	AB_2800360	Rabbit	Valid	 1:75	-20
204	GCN5L2	GCN5L2	KAT2A	2648	CST	3305	1263	AB_2128281	Rabbit	Valid	 1:30	-20
205	GGPS1	GGPS1	GGPS1	9453	Santa Cruz	sc-271680	2498	AB_10708412	Mouse	Valid	 1:500	4
206	GLI1	Gli1	GLI1	2735	CST	3538	1579	AB_1903989	Rabbit	Caution	 1:3000	-20
207	Gli3	Gli3	GLI3	2737	Abcam	ab181130	2588	AB_2732891	Rabbit	Valid	 1:100	-20
208	Glucocorticoid Receptor	Glucocorticoid-Receptor	NR3C1	2908	CST	3660	2530	AB_11179215	Rabbit	Valid	 1:1000	-20
209	Glutamate Dehydrogenase1/2	Glutamate-D1-2	GLUD1	2746	Novus	NBP2-16679	2320	AB_2750902	Rabbit	Valid	 1:500	-20
210	Glutaminase	Glutaminase	GLS	2744	Abcam	ab156876	1491	AB_2721038	Rabbit	Caution	 1:50	-20
218	Glycogen Synthase	Gys	GYS1	2997	CST	3886	1035	AB_2116392	Rabbit	Valid	 1:2000	-20
219	Glycogen Synthase (phospho Ser641)	Gys_pS641	GYS1	2997	CST	3891	1036	AB_2116390	Rabbit	Valid	 1:300	-20
211	Granzyme B	Granzyme-B	GZMB	3002	CST	4275	1807	AB_2114432	Rabbit	Valid	 1:100	-20
212	GRB2	GRB2	GRB2	2885	CST	3972	1094	AB_10693935	Rabbit	Valid	 1:750	-20
213	GRB7	GRB7	GRB7	2886	Abcam	ab183737	2169	AB_2750904	Rabbit	Valid	 1:750	-20
214	Grp75	Grp75	HSPA9	3313	CST	3593	2339	AB_2120328	Rabbit	Caution	 1:150	-20
215	GSK-3alpha/beta	GSK-3a-b	GSK3A/GSK3B	"2931, 2932"	Santa Cruz	sc-7291	284	AB_2279451	Mouse	Valid	 1:250	4
216	GSK-3alpha/beta (phospho Ser21 Ser9)	GSK-3a-b_pS21_S9	GSK3A/GSK3B	"2931, 2932"	CST	9331	285	AB_329830	Rabbit	Valid	 1:200	-20
